gsis_id,mfl_id,mergename,pos,team,dynoECR,draft_year,RookieADP,2QB ADP
00-0034844,13604,Saquon Barkley,RB,NYG,1.1,2018,1,1
00-0034358,13605,Derrius Guice,RB,WAS,36.8,2018,2,3
00-0034750,13608,Rashaad Penny,RB,SEA,55.8,2018,3,6
00-0034845,13607,Sony Michel,RB,NEP,30.8,2018,4,7
00-0034349,13612,Kerryon Johnson,RB,DET,34.5,2018,5,14
00-0034816,13606,Ronald Jones,RB,TBB,104.3,2018,6,9
00-0034791,13610,Nick Chubb,RB,CLE,19.5,2018,7,4
00-0034838,13617,Royce Freeman,RB,DEN,72.5,2018,8,11
00-0034827,13635,DJ Moore,WR,CAR,45.5,2018,9,12
00-0034348,13630,Courtland Sutton,WR,DEN,64.8,2018,10,16
00-0034837,13629,Calvin Ridley,WR,ATL,50,2018,11,15
00-0034775,13633,Christian Kirk,WR,ARI,76.5,2018,12,13
00-0034353,13639,Anthony Miller,WR,CHI,89,2018,13,22
00-0034764,13646,Michael Gallup,WR,DAL,108.5,2018,14,18
00-0034367,13622,Nyheim Hines,RB,IND,111.6,2018,15,26
00-0034676,13631,James Washington,WR,PIT,114,2018,16,17
00-0034860,13634,Dante Pettis,WR,SFO,84.8,2018,17,27
00-0034796,13593,Lamar Jackson,QB,BAL,116.9,2018,18,5
00-0034855,13590,Baker Mayfield,QB,CLE,51.6,2018,19,2
00-0034765,13645,TreQuan Smith,WR,NOS,141.5,2018,20,32
00-0034799,13621,Kalen Ballage,RB,MIA,157.7,2018,21,25
00-0034351,13674,Dallas Goedert,TE,PHI,117.6,2018,22,21
00-0034772,13640,Antonio Callaway,WR,CLE,135.3,2018,23,34
00-0034343,13591,Josh Rosen,QB,ARI,173.5,2018,24,8
00-0034869,13592,Sam Darnold,QB,NYJ,128.1,2018,25,10
00-0034808,13619,John Kelly,RB,LAR,201.2,2018,26,30
00-0034331,13613,Jaylen Samuels,RB,PIT,196.2,2018,27,
00-0034857,13589,Josh Allen,QB,BUF,141,2018,28,19
00-0034279,13637,Equanimeous St Brown,WR,GBP,187.4,2018,29,23
00-0034679,13616,Mark Walton,RB,CIN,238.4,2018,30,31
00-0034753,13671,Mark Andrews,TE,BAL,147.5,2018,31,40
00-0034267,13663,Jaleel Scott,WR,BAL,255.5,2018,32,
00-0034432,13615,Bo Scarbrough,RB,SEA,307.1,2018,33,36
00-0034109,13614,Phillip Lindsay,RB,DEN,42.2,2018,100,
00-0034366,13662,Keke Coutee,WR,HOU,109.5,2018,100,41
00-0034766,13679,Chris Herndon,TE,NYJ,132.5,2018,100,
00-0034272,13793,Marquez Valdes-Scantling,WR,GBP,133.8,2018,100,
00-0034370,13649,DaeSean Hamilton,WR,DEN,137.1,2018,100,37
00-0034829,13672,Mike Gesicki,TE,MIA,147,2018,100,20
00-0034378,13768,Ito Smith,RB,ATL,147.7,2018,100,
00-0034184,13850,Gus Edwards,RB,BAL,148.1,2018,100,
00-0034457,13611,Josh Adams,RB,PHI,154.6,2018,100,47
00-0034510,13653,Robert Foster,WR,BUF,155,2018,100,
00-0034830,13680,Hayden Hurst,TE,BAL,163.2,2018,100,35
00-0034777,13668,DJ Chark,WR,JAC,184.4,2018,100,28
00-0034365,13678,Ian Thomas,TE,CAR,188.1,2018,100,
00-0034406,13636,Deon Cain,WR,IND,204.7,2018,100,33
00-0034681,13726,Chase Edmonds,RB,ARI,206,2018,100,48
00-0034400,13789,Jordan Wilkins,RB,IND,206.4,2018,100,46
00-0034339,13664,Trey Quinn,WR,WAS,229.9,2018,100,
00-0034317,13882,Keith Kirkwood,WR,NOS,233.3,2018,100,
00-0034440,13620,Justin Jackson,RB,LAC,247.3,2018,100,43
00-0034268,13657,JMon Moore,WR,GBP,256.1,2018,100,39
00-0034159,13763,Will Dissly,TE,SEA,256.6,2018,100,
00-0034208,13868,Mike Boone,RB,MIN,258,2018,100,
00-0034646,13910,Brandon Powell,WR,DET,258.3,2018,100,
00-0034686,13642,Auden Tate,WR,CIN,261,2018,100,38
00-0034771,13595,Mason Rudolph,QB,PIT,262.3,2018,100,24
00-0034271,13658,Jordan Lasley,WR,BAL,265,2018,100,45
00-0034395,13666,Daurice Fountain,WR,IND,270,2018,100,
00-0034419,13638,Braxton Berrios,WR,NEP,272.7,2018,100,
00-0034301,13623,Darrel Williams,RB,KCC,280.5,2018,100,
00-0034115,14017,Jeffery Wilson,RB,SFO,282,2018,100,
00-0034164,13816,Trenton Cannon,RB,NYJ,289.4,2018,100,
00-0034386,13776,Justin Watson,WR,TBB,290.2,2018,100,
00-0034369,13601,Kyle Lauletta,QB,NYG,292.2,2018,100,29
00-0034221,13628,Roc Thomas,RB,MIN,293.8,2018,100,
00-0034364,13753,Jordan Akins,TE,HOU,295,2018,100,
00-0034414,13814,Boston Scott,RB,PHI,295.3,2018,100,
00-0034420,13819,Jordan Thomas,TE,HOU,296.7,2018,100,
00-0034383,13772,Dalton Schultz,TE,DAL,299.8,2018,100,
00-0033455,13919,Anthony Firkser,TE,TEN,300.5,2018,100,
00-0034393,13673,Troy Fumagalli,TE,DEN,307.3,2018,100,
00-0034653,13648,Deontay Burnett,WR,NYJ,309,2018,100,
00-0034286,13724,Richie James,WR,SFO,311.5,2018,100,
00-0034747,13647,Marcell Ateman,WR,OAK,311.5,2018,100,
00-0034427,13830,David Williams,RB,JAC,400,2018,100,
00-0034319,13857,Deon Yelder,TE,KCC,400,2018,100,
00-0034489,14015,Jalen Tolliver,WR,ARI,400,2018,100,
00-0034565,13891,Detrez Newsome,RB,LAC,400,2018,100,
00-0034423,13824,Danny Etling,QB,NEP,400,2018,100,
00-0034670,13609,Akrum Wadley,RB,FA,400,2018,100,
00-0034315,13725,Chris Warren,RB,OAK,400,2018,100,
00-0034652,13912,Cameron Batson,WR,TEN,400,2018,100,
00-0034309,13999,Chad Beebe,WR,MIN,400,2018,100,
00-0034087,13899,Steve Ishmael,WR,IND,400,2018,100,
00-0032634,13979,David Grinnage,TE,FA,400,2018,100,
00-0034258,13911,Derrick Willies,WR,CLE,400,2018,100,
00-0034596,13625,Ralph Webb,RB,PIT,400,2018,100,
00-0034307,13904,Janarion Grant,WR,BAL,400,2018,100,
00-0034433,13838,Nick Bawden,RB,DET,400,2018,100,
00-0034532,13995,Jordan Franks,TE,CIN,400,2018,100,
00-0034698,13883,Damoun Patterson,WR,NEP,400,2018,100,
00-0034177,13873,Tim Boyle,QB,GBP,400,2018,100,
00-0034439,13847,Ryan Izzo,TE,NEP,400,2018,100,
00-0034201,13958,DeLance Turner,RB,BAL,400,2018,100,
00-0034854,13963,KhaDarel Hodge,WR,LAR,400,2018,100,
00-0034412,13594,Luke Falk,QB,MIA,400,2018,100,44
00-0034798,13676,Durham Smythe,TE,MIA,400,2018,100,
00-0034449,13916,Buddy Howell,RB,HOU,400,2018,100,
00-0034784,13861,Austin Roberts,TE,LAC,400,2018,100,
00-0034669,13881,Jordan Veasy,WR,IND,400,2018,100,
00-0034253,13871,Dontrell Hilliard,RB,CLE,400,2018,100,
00-0034499,13969,Jawill Davis,WR,NYG,400,2018,100,
00-0034633,13656,Jester Weah,WR,HOU,400,2018,100,
00-0034867,13669,Malik Turner,WR,FA,400,2018,100,
00-0034512,13655,Cam Phillips,WR,FA,400,2018,100,
00-0034732,13825,Alex McGough,QB,JAC,400,2018,100,
00-0034052,13585,Brandon Zylstra,WR,MIN,400,2018,100,
00-0034621,13874,Shaun Wilson,RB,TBB,400,2018,100,
00-0034654,13961,Dalyn Dawkins,RB,TEN,400,2018,100,
00-0034073,13988,Ross Dwelley,TE,SFO,400,2018,100,
00-0034597,13849,Ryan Nall,RB,CHI,400,2018,100,
00-0034409,13807,Dylan Cantrell,WR,LAC,400,2018,100,
00-0034297,13863,Byron Pringle,WR,KCC,400,2018,100,
00-0034426,13644,Javon Wims,WR,CHI,400,2018,100,
00-0034200,13875,Mark Thompson,RB,DET,400,2018,100,
00-0034104,13895,Cam Sims,WR,WAS,400,2018,100,
00-0034401,13598,Mike White,QB,DAL,400,2018,100,
00-0034273,13794,Damion Ratley,WR,CLE,400,2018,100,
00-0034531,13603,Quinton Flowers,RB,CIN,400,2018,100,
00-0034411,13809,Russell Gage,WR,ATL,400,2018,100,
00-0034631,13884,Vyncint Smith,WR,HOU,400,2018,100,
00-0034708,13896,Robert Martin,RB,NYG,400,2018,100,
00-0034487,13893,Trent Sherfield,WR,ARI,400,2018,100,
00-0034521,13632,Allen Lazard,WR,GBP,400,2018,100,
00-0034256,13990,DaMari Scott,WR,BUF,400,2018,100,
00-0034126,13596,JT Barrett,QB,NOS,400,2018,100,
00-0034291,13892,Chase Litton,QB,KCC,400,2018,100,
00-0034206,13991,Quadree Henderson,WR,NYG,400,2018,100,
00-0034270,13675,Tyler Conklin,TE,MIN,400,2018,100,
00-0034577,13879,Kyle Allen,QB,CAR,400,2018,100,
00-0034170,14009,Saeed Blacknall,WR,OAK,400,2018,100,
00-0033856,13129,Leonard Fournette,RB,JAC,38.1,2017,1,2
00-0033871,13153,Corey Davis,WR,TEN,40.8,2017,2,1
00-0033280,13130,Christian McCaffrey,RB,CAR,5.2,2017,3,3
00-0033897,13131,Joe Mixon,RB,CIN,11.8,2017,4,4
00-0033893,13128,Dalvin Cook,RB,MIN,16.5,2017,5,5
00-0033906,13132,Alvin Kamara,RB,NOS,5.4,2017,6,12
00-0033536,13154,Mike Williams,WR,LAC,64,2017,7,6
00-0033526,13133,Samaje Perine,RB,WAS,278.6,2017,8,11
00-0033923,13138,Kareem Hunt,RB,CLE,55.4,2017,9,15
00-0033460,13155,John Ross,WR,CIN,159,2017,10,9
00-0033879,13188,OJ Howard,TE,TBB,62.4,2017,11,8
00-0033881,13189,Evan Engram,TE,NYG,71,2017,12,13
00-0033885,13192,David Njoku,TE,CLE,68.6,2017,13,14
00-0033891,13176,Zay Jones,WR,BUF,200.8,2017,14,20
00-0033857,13156,JuJu Smith-Schuster,WR,PIT,14.5,2017,15,16
00-0033282,13157,Curtis Samuel,WR,CAR,158.8,2017,16,21
00-0033925,13134,DOnta Foreman,RB,HOU,151.5,2017,17,18
00-0033951,13234,Marlon Mack,RB,IND,50.5,2017,18,23
00-0033932,13277,Kenny Golladay,WR,DET,31.5,2017,19,44
00-0033948,13139,Jamaal Williams,RB,GBP,166.1,2017,20,22
00-0033286,13237,Joe Williams,RB,FA,400,2017,21,25
00-0033921,13163,Chris Godwin,WR,TBB,55.8,2017,22,24
00-0033908,13164,Cooper Kupp,WR,LAR,47.7,2017,23,26
00-0033553,13146,James Conner,RB,PIT,23.6,2017,24,27
00-0033955,13143,Jeremy McNichols,RB,TEN,400,2017,25,28
00-0033895,13236,Gerald Everett,TE,LAR,160.8,2017,26,34
00-0033537,13113,Deshaun Watson,QB,HOU,49.8,2017,28,7
00-0033896,13254,Adam Shaheen,TE,CHI,210.2,2017,29,33
00-0033911,13167,Taywan Taylor,WR,TEN,188.3,2017,30,32
00-0033933,13280,Chad Williams,WR,ARI,277.4,2017,31,
00-0033916,13173,ArDarius Stewart,WR,FA,294.5,2017,32,36
00-0033873,13116,Patrick Mahomes,QB,KCC,30.2,2017,33,10
00-0033950,13135,Wayne Gallman,RB,NYG,263.6,2017,34,29
00-0033943,13168,Josh Reynolds,WR,LAR,197.7,2017,35,35
00-0033899,13114,DeShone Kizer,QB,GBP,292.7,2017,36,19
00-0033858,13193,Jonnu Smith,TE,TEN,182.8,2017,37,48
00-0033869,13115,Mitchell Trubisky,QB,CHI,102.5,2017,38,17
00-0033561,13137,Donnel Pumphrey,RB,PHI,400,2017,39,41
00-0033293,13319,Aaron Jones,RB,GBP,33.7,2017,40,37
00-0033581,13334,DeAngelo Henderson,RB,NYJ,310.8,2017,41,
00-0033975,13141,Elijah Hood,RB,CAR,400,2017,42,47
00-0033564,13190,Jake Butt,TE,DEN,246.6,2017,43,31
00-0033295,13144,Elijah McGuire,RB,NYJ,144.6,2017,44,
00-0033288,13299,George Kittle,TE,SFO,28.9,2017,45,
00-0033839,13158,Dede Westbrook,WR,JAC,119.4,2017,46,40
00-0033556,13290,Tarik Cohen,RB,CHI,62.2,2017,47,
00-0033604,13370,Krishawn Hogan,WR,IND,400,2017,49,
00-0033594,13364,Chris Carson,RB,SEA,72.4,2017,100,
00-0033308,13378,Matt Breida,RB,SFO,88,2017,100,
00-0033699,13404,Austin Ekeler,RB,LAC,126.8,2017,100,
00-0033589,13348,David Moore,WR,SEA,178.3,2017,100,
00-0033681,13412,Keelan Cole,WR,JAC,196.1,2017,100,
00-0033611,13382,Ricky Seals-Jones,TE,ARI,204.3,2017,100,
00-0033658,13722,Blake Jarwin,TE,DAL,217,2017,100,
00-0033725,13136,Corey Clement,RB,PHI,227,2017,100,
00-0033319,13968,Nick Mullens,QB,SFO,238,2017,100,
00-0033292,13316,Trent Taylor,WR,SFO,255.7,2017,100,
00-0033555,13289,Mack Hollins,WR,PHI,256.5,2017,100,
00-0033307,13418,Kendrick Bourne,WR,SFO,259,2017,100,
00-0033375,13377,Tim Patrick,WR,DEN,259.5,2017,100,
00-0033937,13166,Amara Darboh,WR,SEA,275,2017,100,
00-0033840,13183,Chad Hansen,WR,DEN,279.5,2017,100,
00-0033859,13235,Josh Malone,WR,CIN,286.5,2017,100,
00-0033357,13424,Taysom Hill,QB,NOS,287.7,2017,100,
00-0033597,13121,Chad Kelly,QB,FA,291.7,2017,100,44
00-0033559,13197,Michael Roberts,TE,DET,294.5,2017,100,
00-0033936,13125,CJ Beathard,QB,SFO,297.7,2017,100,45
00-0033291,13187,DeAngelo Yancey,WR,NYJ,301.5,2017,100,
00-0034011,13880,Dan Arnold,TE,NOS,302,2017,100,
00-0033958,13127,Nathan Peterman,QB,OAK,302.2,2017,100,
00-0033387,13391,Jacob Hollister,TE,NEP,302.5,2017,100,
00-0033550,13120,Davis Webb,QB,NYJ,304.2,2017,100,38
00-0033562,13165,Ryan Switzer,WR,PIT,305.5,2017,100,
00-0033789,13142,TJ Logan,RB,ARI,310.8,2017,100,
00-0033251,13488,Zach Pascal,WR,IND,311.5,2017,100,
00-0033953,13195,Jordan Leggett,TE,NYJ,313.5,2017,100,
00-0033464,13169,Jehu Chesson,WR,WAS,315.5,2017,100,
00-0033471,13162,Isaiah Ford,WR,MIA,322,2017,100,
00-0033530,13238,Robert Davis,WR,WAS,400,2017,100,
00-0033696,13438,Sean Culkin,TE,LAC,400,2017,100,
00-0033591,13172,Noah Brown,WR,DAL,400,2017,100,
00-0033373,13384,Taquan Mizzell,RB,CHI,400,2017,100,
00-0033757,13427,Robert Tonyan,TE,GBP,400,2017,100,
00-0033773,13420,Riley McCarron,WR,FA,400,2017,100,
00-0033306,13375,Victor Bolden,WR,BUF,400,2017,100,
00-0033968,13177,Stacy Coley,WR,NYJ,400,2017,100,
00-0033633,13372,Tanner Gentry,WR,CHI,400,2017,100,
00-0033366,13406,Quincy Adeboyejo,WR,BAL,400,2017,100,
00-0033573,13170,Shelton Gibson,WR,PHI,400,2017,100,
00-0033379,13398,Tim White,WR,NYJ,400,2017,100,
00-0033760,13150,Justin Davis,RB,LAR,400,2017,100,
00-0034054,13862,River Cracraft,WR,DEN,400,2017,100,
00-0033376,13455,Patrick Ricard,RB,BAL,400,2017,100,
00-0033421,13445,Antony Auclair,TE,TBB,400,2017,100,
00-0033567,13240,Brian Hill,RB,ATL,400,2017,100,
00-0033838,13452,Trey Edmunds,RB,PIT,400,2017,100,
00-0033596,13140,Matthew Dayes,RB,SFO,400,2017,100,
00-0033309,13159,KD Cannon,WR,DAL,400,2017,100,
00-0031787,12443,Jake Kumerow,WR,GBP,400,2017,100,
00-0033797,13359,Khalfani Muhammad,RB,DEN,400,2017,100,
00-0033466,13313,Isaiah McKenzie,WR,BUF,400,2017,100,
00-0033949,13119,Joshua Dobbs,QB,PIT,400,2017,100,42
00-0033296,13326,Alexander Armah,RB,CAR,400,2017,100,
00-0033576,13315,Eric Saubert,TE,ATL,400,2017,100,
00-0033798,13366,Mason Schreck,TE,CIN,400,2017,100,
00-0033528,13194,Jeremy Sprinkle,TE,WAS,400,2017,100,
00-0033627,13890,Jason Croom,TE,BUF,400,2017,100,
00-0033315,13511,Cole Hikutini,TE,MIN,400,2017,100,
00-0033966,13191,Bucky Hodges,TE,PIT,400,2017,100,48
00-0033672,13389,Kyle Sloter,QB,MIN,400,2017,100,
00-0033662,13124,Cooper Rush,QB,DAL,400,2017,100,
00-0033585,13117,Brad Kaaya,QB,CIN,400,2017,100,
00-0033246,13940,Johnny Mundt,TE,LAR,400,2017,100,
00-0033304,13357,Devante Mays,RB,CLE,400,2017,100,
00-0033854,13148,Dare Ogunbowale,RB,FA,400,2017,100,
00-0033441,13371,Keon Hatcher,WR,OAK,400,2017,100,
00-0033382,13367,Austin Carr,WR,NOS,400,2017,100,
00-0033599,13538,Carlton Agudosi,WR,PHI,400,2017,100,
00-0033620,13421,Brandon Reilly,WR,DET,400,2017,100,
00-0033217,13246,Mo Alie-Cox,TE,IND,400,2017,100,
00-0033735,13728,Billy Brown,TE,IND,400,2017,100,
00-0033474,13179,Gehrig Dieter,WR,KCC,400,2017,100,
00-0033305,13160,Malachi Dupre,WR,ARI,400,2017,100,39
00-0033481,13503,Marcus Kemp,WR,KCC,400,2017,100,
00-0033742,13411,Tyrone Swoopes,TE,SEA,400,2017,100,
00-0033434,13544,Bobo Wilson,WR,TBB,400,2017,100,
00-0033706,13161,Artavis Scott,WR,LAC,400,2017,100,
00-0033992,13390,Lance Lenoir,WR,DAL,400,2017,100,
00-0033374,13924,Ricky Ortiz,RB,ATL,400,2017,100,
00-0033045,12625,Ezekiel Elliott,RB,DAL,3.6,2016,1,1
00-0032951,12645,Laquon Treadwell,WR,MIN,276.3,2016,3,2
00-0032966,12646,Corey Coleman,WR,NYG,400,2016,4,3
00-0032760,12648,Josh Doctson,WR,WAS,177.7,2016,5,4
00-0033106,12611,Jared Goff,QB,LAR,79.2,2016,31,5
00-0032950,12610,Carson Wentz,QB,PHI,68.4,2016,36,6
00-0032385,12658,Sterling Shepard,WR,NYG,103,2016,6,7
00-0032764,12626,Derrick Henry,RB,TEN,50.8,2016,9,8
00-0032411,12632,Kenneth Dixon,RB,BAL,158.5,2016,14,9
00-0033108,12612,Paxton Lynch,QB,SEA,400,2016,37,10
00-0032765,12652,Michael Thomas,WR,NOS,8,2016,7,11
00-0032393,12627,CJ Prosise,RB,SEA,298.8,2016,13,12
00-0033009,12650,Tyler Boyd,WR,CIN,77.2,2016,11,13
00-0033127,12647,Will Fuller,WR,HOU,68.6,2016,12,14
00-0032972,12629,Devontae Booker,RB,DEN,250.3,2016,15,15
00-0032417,12631,Paul Perkins,RB,NYG,400,2016,20,16
00-0033090,12676,Hunter Henry,TE,LAC,71.9,2016,23,17
00-0032780,12634,Jordan Howard,RB,CHI,84.7,2016,17,18
00-0033118,12630,Kenyan Drake,RB,MIA,80.4,2016,25,19
00-0033060,12655,Leonte Carroo,WR,FA,290,2016,10,20
00-0033069,12651,Braxton Miller,WR,PHI,296.5,2016,24,21
